28;23-1-4;10.00
28;23-1-5;10.00
28;23-1-6;10.00
28;23-1-7;12.10
28;23-2-1;3.00
28;23-2-2;7.20
28;23-2-3;12.00
28;23-2-4;10.00
28;23-2-5;6.70
28;23-2-6;10.00
28;23-2-7;11.40
28;23-3-1;9.00
28;23-3-2;12.30
28;23-3-3;9.20
28;23-3-4;10.00
28;23-3-5;7.00
28;23-3-6;7.40
28;23-3-7;11.30
28;23-4-1;9.60
28;23-4-2;10.00
28;23-4-3;9.00
28;23-4-4;9.60
28;23-4-5;9.40
28;23-4-6;9.00
28;23-4-7;15.90
28;23-5-1;3.30
28;23-5-2;11.20
28;23-5-3;9.00
28;23-5-4;8.30
28;23-5-5;4.40
28;23-5-6;2.30
28;23-5-7;15.00
28;24-1-1;8.00
28;24-1-2;7.00
28;24-1-3;11.00
28;24-1-4;7.00
28;24-1-5;12.00
28;24-1-6;6.00
28;24-1-7;10.00
28;24-1-8;14.00
28;24-2-1;8.80
28;24-2-2;9.00
28;24-2-4;4.80
28;24-2-5;10.40
28;24-2-6;13.00
28;24-2-7;6.70
28;24-2-8;9.10
28;24-3-1;12.00
28;24-3-2;7.00
28;24-3-3;10.00
28;24-3-4;12.00
28;24-3-5;4.90
28;24-3-6;13.00
28;24-3-7;4.50
28;24-3-8;11.50
28;24-4-1;10.00
28;24-4-2;8.00
28;24-4-3;8.00
28;24-4-4;10.00
28;24-4-5;4.80
28;24-4-6;9.00
28;24-4-7;3.90
28;24-4-8;3.80
28;24-5-1;9.00
28;24-5-2;5.60
28;24-5-3;9.50
28;24-5-4;6.80
28;24-5-5;2.90
28;24-5-6;13.00
28;24-5-7;13.00
28;24-5-8;15.00
28;25-1-1;6.20
28;25-1-2;12.00
28;25-1-3;7.00
28;25-1-4;5.10
28;25-1-5;4.00
28;25-1-6;3.40
28;25-1-7;7.00
28;25-1-8;11.90
28;25-2-1;8.00
28;25-2-4;13.00
28;25-2-5;8.00
28;25-2-6;9.00
28;25-2-7;1.20
28;25-3-1;12.00
28;25-3-2;3.80
28;25-3-3;6.30
28;25-3-4;10.00
28;25-3-5;2.60
28;25-3-6;10.00
28;25-4-1;4.00
28;25-4-2;5.20
28;25-4-3;4.80
28;25-4-5;4.00
28;25-4-6;5.70
28;25-5-6;4.00
29;21-1-3;7.40
29;21-1-5;4.20
29;21-2-2;9.00
29;21-3-1;8.70
29;21-4-1;8.00
29;21-4-2;3.60
29;21-4-3;3.70
29;21-5-1;4.80
29;21-5-3;7.40
29;22-1-1;1.70
29;22-2-3;6.30
29;22-2-4;7.20
29;22-2-5;4.20
29;22-3-1;7.80
29;22-3-2;8.00
29;22-3-4;10.00
29;22-4-1;10.00
29;22-4-2;1.30
29;22-4-3;0.00
29;22-4-7;4.80
29;22-5-1;10.00
29;22-5-3;9.10
29;22-5-5;7.30
29;22-5-6;10.80
30;21-4-3;6.00
30;21-5-2;5.70
30;21-5-3;8.70
30;21-5-5;6.80
30;22-1-1;8.20
30;22-1-2;5.20
30;22-1-4;8.70
30;22-1-5;2.20
30;22-1-6;8.80
30;22-1-7;14.00
30;22-2-1;7.60
30;22-2-2;10.40
30;22-2-3;6.30
30;22-2-4;8.00
30;22-2-5;10.00
30;22-2-6;5.10
30;22-2-7;5.30
30;22-3-1;8.50
30;22-3-2;8.00
30;22-3-3;10.90
30;22-3-4;4.80
30;22-3-5;5.20
30;22-3-6;10.00
30;22-3-7;8.30
30;22-5-1;10.00
30;22-5-2;4.50
30;22-5-3;9.50
30;22-5-4;3.30
30;22-5-5;10.00
30;22-5-6;11.40
30;22-5-7;9.30
31;22-1-1;7.90
31;22-1-2;6.70
31;22-1-4;6.70
31;22-1-5;2.50
31;22-1-6;2.50
31;22-1-7;2.60
32;21-1-1;7.50
32;21-1-2;10.00
32;21-1-3;4.60
32;21-1-4;10.10
32;21-1-5;7.40
32;21-1-6;10.70
32;21-2-1;9.40
32;21-2-3;9.00
32;21-2-4;2.30
32;21-2-5;9.00
32;21-2-6;11.00
32;21-3-2;2.20
32;21-3-3;8.20
32;21-3-5;10.00
32;21-3-6;11.30
32;21-4-3;10.00
32;21-4-6;3.80
32;21-5-1;4.80
32;21-5-2;6.90
32;21-5-3;8.00
32;21-5-4;11.10
32;21-5-5;9.10
32;22-2-4;6.60
32;22-2-6;0.00
33;21-1-1;6.20
33;21-1-2;10.00
33;21-1-3;8.30
33;21-1-4;7.40
33;21-1-5;8.00
33;21-1-6;12.00
33;21-2-1;7.80
33;21-2-2;9.00
33;21-2-3;10.00
33;21-2-4;7.30
33;21-2-5;10.00
33;21-2-6;7.20
33;21-3-1;4.60
33;21-3-3;8.40
33;21-3-4;9.40
33;21-3-5;10.00
33;21-3-6;12.00
33;21-4-1;8.00
33;21-4-2;9.00
33;21-4-3;10.00
33;21-4-4;9.10
33;21-4-5;10.00
33;21-4-6;12.00
33;21-5-1;10.00
33;21-5-2;10.00
33;21-5-3;7.00
33;21-5-4;7.00
33;21-5-5;10.00
33;21-5-6;14.00
33;22-1-1;0.90
33;22-1-2;5.80
33;22-1-3;10.00
33;22-1-4;10.60
33;22-1-5;1.80
33;22-1-6;7.80
33;22-1-7;12.00
